,f1_score,loss
0,0.08326284303420316,2.5166022230202043
1,0.4949889545039218,1.3899548503714547
2,0.7895792198009313,0.7940293910217957
3,0.8415198815210125,0.6686307600056621
4,0.8626219492863361,0.577751091322009
5,0.8656384612748754,0.5677769567240292
6,0.8770469230119355,0.5521954058289108
7,0.8821005075238486,0.5489549873055707
8,0.8854533890580979,0.5403164067712258
9,0.887288653229526,0.5540227768076977
10,0.894644911970467,0.536065526081013
11,0.8940131081261237,0.5552610616763712
12,0.8936377120149587,0.5536127806549341
13,0.890988691233509,0.5971486684984304
14,0.8927819742872848,0.5950100130965592
15,0.8976511650016087,0.5904864903224606
16,0.8980962256576365,0.6049780593056914
17,0.8992574698910475,0.6173578167570309
18,0.8987168164723957,0.6278814253305466
19,0.8997070911735803,0.6252054911303583
20,0.8993717932160334,0.6259339320984945
21,0.9000420497629954,0.6276967748920892
22,0.8993537892345936,0.6284900357658175
23,0.8992603441367878,0.6288205967901248
24,0.8994371363195248,0.6289125603964736
25,0.8991669101292276,0.6290493928223954
26,0.8993646266779192,0.6292598683059111
